symbol,timeframe,model,csv_path,result_dir,rows,test_rows,prediction_windows,pred_len,pred_step,trade_count,coverage,win_rate,avg_win,avg_loss,win_loss_ratio,profit_factor,cumulative_return,max_drawdown,mean_trade_return,pred_direction_acc,threshold_bps,cost_bps,strategy_mode,ma_window,min_hold_bars,hold_until_opposite,stop_loss_bps,cooldown_bars,allow_short,long_only
EURUSD,H1,PatchTST,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\EURUSD_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_EURUSD_H1_PatchTST_sl96_pl1_PatchTST_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,12000,2400,2400,1,0,29,0.41833333333333333,0.3448275862068966,0.009002643459273355,0.002774363005912413,3.244940708943972,1.707863531023143,0.037593513027642134,0.019255459370945527,0.00128667370622061,0.5219123505976095,12.0,2.0,stateful,0,1,True,20.0,2,True,False
EURUSD,H1,PatchTST,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\EURUSD_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_EURUSD_H1_PatchTST_sl96_pl1_PatchTST_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,12000,2400,2400,1,0,29,0.41833333333333333,0.3448275862068966,0.009002643459273355,0.002774363005912413,3.244940708943972,1.707863531023143,0.037593513027642134,0.019255459370945527,0.00128667370622061,0.5219123505976095,12.0,2.0,stateful,0,2,True,20.0,2,True,False
EURUSD,H1,PatchTST,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\EURUSD_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_EURUSD_H1_PatchTST_sl96_pl1_PatchTST_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,12000,2400,2400,1,0,29,0.41833333333333333,0.3448275862068966,0.009002643459273355,0.002774363005912413,3.244940708943972,1.707863531023143,0.037593513027642134,0.019255459370945527,0.00128667370622061,0.5219123505976095,12.0,2.0,stateful,0,3,True,20.0,2,True,False
EURUSD,H1,PatchTST,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\EURUSD_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_EURUSD_H1_PatchTST_sl96_pl1_PatchTST_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,12000,2400,2400,1,0,19,0.825,0.47368421052631576,0.009724495706254997,0.005432634152147357,1.7900148314627806,1.6110133483165026,0.033105834265420464,0.02677163003644878,0.0017470589386748105,0.5116161616161616,12.0,2.0,stateful,0,1,True,40.0,2,True,False
EURUSD,H1,PatchTST,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\EURUSD_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_EURUSD_H1_PatchTST_sl96_pl1_PatchTST_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,12000,2400,2400,1,0,19,0.825,0.47368421052631576,0.009724495706254997,0.005432634152147357,1.7900148314627806,1.6110133483165026,0.033105834265420464,0.02677163003644878,0.0017470589386748105,0.5116161616161616,12.0,2.0,stateful,0,2,True,40.0,2,True,False
EURUSD,H1,iTransformer,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\EURUSD_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_EURUSD_H1_iTransformer_sl96_pl1_iTransformer_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,12000,2400,2400,1,0,23,0.7245833333333334,0.6086956521739131,0.005647515594262978,0.00596343172892629,0.9470244401171014,1.4731491290710466,0.025081234113560447,0.036028358915335956,0.0011041014243193513,0.5031627372052904,20.0,2.0,stateful,0,1,True,0.0,0,True,False
EURUSD,H1,iTransformer,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\EURUSD_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_EURUSD_H1_iTransformer_sl96_pl1_iTransformer_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,12000,2400,2400,1,0,23,0.7245833333333334,0.6086956521739131,0.005647515594262978,0.00596343172892629,0.9470244401171014,1.4731491290710466,0.025081234113560447,0.036028358915335956,0.0011041014243193513,0.5031627372052904,20.0,2.0,stateful,0,1,True,0.0,1,True,False
EURUSD,H1,iTransformer,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\EURUSD_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_EURUSD_H1_iTransformer_sl96_pl1_iTransformer_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,12000,2400,2400,1,0,23,0.7245833333333334,0.6086956521739131,0.005647515594262978,0.00596343172892629,0.9470244401171014,1.4731491290710466,0.025081234113560447,0.036028358915335956,0.0011041014243193513,0.5031627372052904,20.0,2.0,stateful,0,1,True,0.0,2,True,False
EURUSD,H1,iTransformer,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\EURUSD_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_EURUSD_H1_iTransformer_sl96_pl1_iTransformer_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,12000,2400,2400,1,0,23,0.7245833333333334,0.6086956521739131,0.005647515594262978,0.00596343172892629,0.9470244401171014,1.4731491290710466,0.025081234113560447,0.036028358915335956,0.0011041014243193513,0.5031627372052904,20.0,2.0,stateful,0,2,True,0.0,0,True,False
EURUSD,H1,iTransformer,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\EURUSD_H1.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_EURUSD_H1_iTransformer_sl96_pl1_iTransformer_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,12000,2400,2400,1,0,23,0.7245833333333334,0.6086956521739131,0.005647515594262978,0.00596343172892629,0.9470244401171014,1.4731491290710466,0.025081234113560447,0.036028358915335956,0.0011041014243193513,0.5031627372052904,20.0,2.0,stateful,0,2,True,0.0,1,True,False
EURUSD,H4,iTransformer,C:\Users\29083\AppData\Roaming\MetaQuotes\Terminal\Common\Files\tslib\EURUSD_H4.csv,D:\python_workspace\Time-Series-Library\results\long_term_forecast_EURUSD_H4_iTransformer_sl96_pl1_iTransformer_custom_ftMS_sl96_ll48_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_quant_0,12000,2400,2400,1,0,314,0.8733333333333333,0.5732484076433121,0.0039429490222099815,0.004473809763247362,0.8813403409777422,1.1838900102686087,0.11222527402857096,0.058465206945171544,0.000351083808033918,0.5124045801526718,12.0,2.0,stateful,0,3,True,40.0,2,True,False
